Site,Precip_Condition,WaterYear
SMCR8_559,Wet,1993
SMCR8_598,Wet,1993
SMCR8_598,Wet,1991
SMCR8_598,Average,1997
SMCR8_598,Average,1992
SMCR8_598,Dry,1999
SMCR8_598,Dry,1996
801RB8361,Wet,1995
801RB8361,Wet,2003
801RB8361,Average,1997
801RB8361,Average,2004
801RB8361,Dry,2007
801RB8361,Dry,2002
801RB8572,Wet,1993
801RB8572,Wet,1995
SMC00375,Wet,1995
SMC00375,Wet,1993
SMC00375,Dry,1994
SMC00375,Dry,1996
SMC01341,Wet,2011
SMC01341,Wet,1995
SMC01341,Average,1997
SMC01341,Average,2010
SMC01341,Dry,2009
SMC01341,Dry,2004
SMC02059,Wet,1995
SMC02059,Wet,1993
SMC02127,Wet,2010
SMC02127,Wet,2011
SMC02573,Wet,1993
SMC02573,Wet,1995
SMC06653,Average,1997
SMC06653,Average,1996
SMC06653,Dry,2006
SMC06653,Dry,2004
SMC18046,Wet,2010
SMC18046,Wet,2011
SMCR8_258,Wet,1993
SMCR8_258,Wet,1995
SMCR8_294,Wet,1995
SMCR8_294,Wet,1998
SMCR8_294,Average,1997
SMCR8_294,Average,1996
SMCR8_294,Dry,2000
SMCR8_294,Dry,2006
SMCR8_351,Wet,2005
SMCR8_351,Wet,1998
SMCR8_351,Average,1996
SMCR8_351,Average,2001
SMCR8_351,Dry,2007
SMCR8_351,Dry,2006
SMCR8_361,Wet,1995
SMCR8_361,Wet,2003
SMCR8_361,Average,1996
SMCR8_361,Average,1997
SMCR8_361,Dry,2007
SMCR8_361,Dry,2002
SMCR8_572,Wet,1995
SMCR8_572,Wet,1993
402BA0079,Wet,2006
402BA0079,Wet,2011
402BA0079,Dry,2007
402BA0079,Dry,2004
402BA0079,Average,2012
402BA0079,Average,2000
402BA0143,Wet,2011
402BA0143,Wet,2010
402BA0143,Dry,2007
402BA0143,Dry,1999
402BA0143,Average,2000
402BA0143,Average,1996
403BA0047,Wet,2010
403BA0047,Wet,2011
403BA0047,Dry,2013
403BA0047,Dry,2012
403FCA022,Wet,2011
403FCA022,Wet,2003
403FCA022,Dry,2000
403FCA022,Dry,2002
403FCA022,Average,2010
403FCA022,Average,1997
403S05247,Wet,2010
403S05247,Wet,2011
408BA0580,Wet,2011
408BA0580,Wet,2010
408BA0580,Dry,2012
408BA0580,Dry,2013
408WE0547,Dry,2007
408WE0547,Dry,1999
408WE0547,Average,2000
408WE0547,Average,2006
408WE0547,Wet,2003
408WE0547,Wet,2005
408WE0654,Dry,1999
